0.000336011 0.000788162,0.000131555 1.00079,1.00013 1.00099, ,0.0289609 10.0236,4.02876 9.98318,1.94809 2.00378, ,0.00627869 -0.0105083,4.00626 0.00323208,1.99596 2.99634, ,0.027486 -0.0104129,-0.036038 9.98939,4.99562 5.02125, ,1.00157 0.999534,5.99978 7.00102,2.00097 2.99983, ,-1.00508 -3.00941,-4.02198 -4.98382,0.0289132 0.981941, ,1.03303 2.97623,-4.06035 -4.96464,0.00966942 0.988085, ,
-0.00151177 0.00167114,-0.00147753 1.00167,0.998522 1.00164, ,0.0591604 10.0477,4.05831 9.9651,1.89353 2.00811, ,0.012416 -0.0205706,4.01233 0.0061239,1.99235 2.99271, ,0.0519925 -0.0205982,-0.0688479 9.97867,4.99121 5.03946, ,1.00288 0.999268,5.99998 7.00168,2.00191 2.99975, ,-1.00643 -3.01103,-4.02877 -4.97711,0.0385659 0.97745, ,1.03833 2.97283,-4.06788 -4.9598,0.0117563 0.986344, ,
-0.00322522 0.00249055,-0.0030144 1.00249,0.996986 1.00228, ,0.090027 10.072,4.08805 9.94618,1.83748 2.01302, ,0.0182674 -0.0299256,4.01808 0.00843825,1.9894 2.98912, ,0.0736668 -0.0296466,-0.0986027 9.96887,4.98679 5.05575, ,1.00439 0.998868,6.00003 7.0025,2.00294 2.99959, ,-1.00721 -3.01207,-4.03324 -4.97246,0.0452842 0.974437, ,1.04314 2.96973,-4.07473 -4.95539,0.0136443 0.984748, ,
-0.00482506 0.00325382,-0.00449149 1.00325,0.995508 1.00292, ,0.121854 10.0965,4.11823 9.92618,1.7794 2.01859, ,0.0238595 -0.0386121,4.02356 0.0101925,1.98711 2.98557, ,0.0928375 -0.0377126,-0.125661 9.9599,4.98239 5.07034, ,1.00631 0.998196,5.9997 7.0037,2.0041 2.9993, ,-1.00776 -3.01285,-4.03671 -4.96872,0.0506888 0.972082, ,1.04696 2.96722,-4.08021 -4.95188,0.0151333 0.983451, ,
-0.00632671 0.00396756,-0.00591711 1.00397,0.994083 1.00356, ,0.154388 10.121,4.14857 9.90529,1.71999 2.0248, ,0.0292137 -0.0466598,4.02879 0.0113977,1.98546 2.98205, ,0.109741 -0.0449115,-0.150292 9.95171,4.97803 5.08341, ,1.00835 0.997458,5.9992 7.00507,2.0053 2.99898, ,-1.0082 -3.0135,-4.03969 -4.96543,0.0554213 0.970055, ,1.05009 2.96513,-4.08474 -4.94901,0.0163437 0.982361, ,
-0.00774236 0.00463732,-0.00729753 1.00464,0.992702 1.00419, ,0.187568 10.1455,4.17898 9.88355,1.65938 2.0317, ,0.034348 -0.054098,4.0338 0.0120658,1.98445 2.97857, ,0.124588 -0.0513424,-0.172733 9.94424,4.97372 5.09511, ,1.01053 0.996659,5.99856 7.00662,2.00654 2.99865, ,-1.00861 -3.01408,-4.04245 -4.96236,0.0598117 0.968189, ,1.05276 2.96332,-4.08865 -4.94655,0.0173678 0.981408, ,
-0.0090817 0.00526776,-0.00863756 1.00527,0.991362 1.00482, ,0.220686 10.1692,4.20884 9.8616,1.59952 2.0391, ,0.039266 -0.0611088,4.03859 0.0124186,1.98378 2.97515, ,0.137561 -0.0570887,-0.193192 9.93744,4.96945 5.10555, ,1.01208 0.99628,5.99831 7.00773,2.00749 2.99857, ,-1.00898 -3.01461,-4.04499 -4.9595,0.0638915 0.966469, ,1.05512 2.96169,-4.09214 -4.94436,0.018264 0.980545, ,
-0.0103527 0.00586266,-0.00994113 1.00586,0.990059 1.00545, ,0.2497 10.1894,4.23465 9.84274,1.54877 2.0462, ,0.0442058 -0.0683102,4.04338 0.0131702,1.98268 2.97181, ,0.148834 -0.0622264,-0.21186 9.93127,4.96523 5.11487, ,1.01235 0.996798,5.99911 7.00781,2.00794 2.999, ,-1.00932 -3.01507,-4.04735 -4.95682,0.067672 0.96489, ,1.05725 2.9602,-4.09533 -4.94239,0.0190598 0.979753, ,
-0.0115594 0.00642413,-0.011209 1.00642,0.988791 1.00607, ,0.273979 10.206,4.25604 9.82755,1.50814 2.05265, ,0.0491385 -0.0756358,4.04813 0.0142467,1.98122 2.96855, ,0.158627 -0.0668464,-0.228982 9.92564,4.96107 5.1232, ,1.011 0.998467,6.00139 7.00646,2.0078 3.00006, ,-1.00963 -3.01549,-4.04952 -4.95431,0.0711861 0.963439, ,1.05919 2.95882,-4.09826 -4.94059,0.0197754 0.979016, ,
-0.0127056 0.00695425,-0.0124417 1.00695,0.987558 1.00669, ,0.294107 10.2196,4.27366 9.8156,1.47595 2.05848, ,0.0540367 -0.0830163,4.05282 0.0155633,1.97949 2.96536, ,0.167142 -0.0710286,-0.244778 9.92048,4.95694 5.13069, ,1.00942 1.00031,6.00383 7.00496,2.00756 3.00124, ,-1.00991 -3.01586,-4.05155 -4.95195,0.0744701 0.962096, ,1.06097 2.95753,-4.101 -4.93893,0.0204268 0.978324, ,
-0.0137948 0.00745502,-0.0136394 1.00746,0.986361 1.0073, ,0.312082 10.2316,4.2893 9.80528,1.4481 2.06399, ,0.0588814 -0.0903981,4.05744 0.0170511,1.97757 2.96224, ,0.174539 -0.074836,-0.259425 9.91574,4.95285 5.13744, ,1.00782 1.00216,6.00628 7.00345,2.0073 3.00242, ,-1.01018 -3.01619,-4.05344 -4.94972,0.0775532 0.96085, ,1.06263 2.95632,-4.10357 -4.93737,0.0210244 0.977669, ,
-0.0148306 0.00792829,-0.0148033 1.00793,0.985197 1.0079, ,0.328483 10.2424,4.30351 9.79616,1.42346 2.06924, ,0.0636617 -0.0977526,4.06197 0.0186748,1.97549 2.95919, ,0.180921 -0.0783095,-0.273034 9.91138,4.94879 5.14351, ,1.0062 1.00403,6.00874 7.00191,2.00704 3.00361, ,-1.01042 -3.01649,-4.05521 -4.94761,0.0804539 0.959692, ,1.06418 2.95517,-4.10601 -4.93591,0.0215748 0.977047, ,
-0.0158166 0.00837585,-0.0159347 1.00838,0.984065 1.00849, ,0.343344 10.2522,4.31635 9.78823,1.40194 2.0742, ,0.0683726 -0.105058,4.0664 0.020407,1.97329 2.9562, ,0.186368 -0.0814811,-0.285694 9.90737,4.94476 5.14898, ,1.00456 1.00592,6.01122 7.00036,2.00678 3.00481, ,-1.01065 -3.01675,-4.05688 -4.94561,0.0831871 0.958614, ,1.06563 2.95408,-4.10831 -4.93454,0.0220823 0.976455, ,
-0.0167563 0.00879938,-0.0170346 1.0088,0.982965 1.00908, ,0.356861 10.261,4.32799 9.78134,1.38302 2.07893, ,0.0730351 -0.112261,4.07078 0.0221208,1.97112 2.95324, ,0.190949 -0.0843783,-0.297482 9.90369,4.94077 5.15387, ,1.0029 1.00781,6.0137 6.9988,2.0065 3.00601, ,-1.01086 -3.01698,-4.05844 -4.94371,0.0857667 0.957611, ,1.06698 2.95305,-4.1105 -4.93325,0.0225512 0.97589, ,
